Depreciation of tangible fixed assets - owned by group,d_and_a
Cost of equity settled share based payments,adjustment
Amortisation of software,d_and_a
Auditor's remuneration: Audit,other
Operating lease payables - equipment,other
Fees payable to the company's auditors and its associates for other assurance services,other
Auditor's remuneration audit services statutory audit of parent and consolidated accounts,other
Exceptional onerous contracts,adjustment
Profit/loss on disposal of fixed assets,adjustment
Audit services,other
Auditors' remuneration - other regulatory services,other
Other operating income - profit on disposal,adjustment
Depreciation written off assets on hire purchase and finance leases,d_and_a
"Operating lease payments - plant, machinery and vehicles",other
Amount receivable by the auditors and their associates: Other services pursuant to legislation,other
Marketing services and other services,other
Auditor's remuneration - non audit - group auditors,other
Operating leases - motor vehicles,other
Fee - audit of annual accounts,other
Services provided by the Company's auditors - the audit of the Company's financial statements,other
Write down of inventory to net realisable value,adjustment
Management recharges,other
Share-based payments,adjustment
"Rentals payable under operating leases - plant, machinery and vehicles",other
Exceptional credits/costs,adjustment
Loss on sale of Freehold property,adjustment
Trade debtors impairment (release)/charge,adjustment
Impairment allowance on trade debtors,adjustment
Professional fees in relation to corporate transactions,adjustment
Amortisation of deferred government grants,d_and_a
"Operating lease payments on property, vehicles, plant and equipment",other
Auditors remuneration - consolidated accounts,other
Auditors remuneration - due diligence,other
Auditor's remuneration - audit of subsidiaries,other
"Depreciation of fixtures, fittings and equipment",d_and_a
Fees payable to the company's auditor and its associates for the audit of the company's subsidiaries,other
"Operating lease rentals - vehicles, plant and equipment",other
Amortisation - written off computer software,d_and_a
Exceptional item - holiday pay accrual,adjustment
Fee pay for the audit of subsidiaries' financial statements,other
Rentals under operating leases - other operating leases,other
Gains on acquisition of a subsidiary,adjustment
Profit on foreign exchange transactions and consolidations,adjustment
Fees payable to the Company's auditor and associated for other services - tax servies,other
Auditor's fees for the audit of the company,other
Exceptional administration expenses,adjustment
Loss/(profit) on disposal of intangible assets,adjustment
Amounts receivable by the company's auditor in respect of Taxation compliance service,other
Other operating leases - rent,other
UK restructuring,adjustment
Amounts payable under operating leases,other
Amortisation - intangibles,d_and_a
Net foreign exchange gain,adjustment
Amortisation of software costs,d_and_a
Auditors renumeration - taxation compliance services,other
Audit of parent and consolidated accounts,other
Development expenditure expected to derive future benefits,adjustment
"Operating lease costs - plant, equipment and vehicles",other
Costs relating to the sale of the Deb Group,adjustment
Amortisation of lease premium,d_and_a
Other services relating to information technology,other
Settlement agreement,adjustment
Amounts paid under operating leases,other
Auditors' remuneration: group - audit,other
Exchange losses/(gains),adjustment
Auditor's remuneration - tax compliance services,other
Hire of land and buildings,other
Operating leases,other
Amortisation - written off goodwill,d_and_a
receivables written off as uncollectable,other
Merger costs,adjustment
Auditors remuneration - audit of subsidiaries accounts,other
Foreign currency loss/(gain),adjustment
Goodwill and other amounts written off intangible fixed assets,d_and_a
Auditor's remuneration - other taxation services - KPMG LLP,other
Fees payable to the company's auditor and its associates included in operating costs - EY- Audit of Company Subsidiaries,other
Operating leases charged as an expense,other
Depreciation charge for the year - Tangible owned fixed assets,d_and_a
Exchange differences from FRS102,adjustment
The audit of the Group's subsidiaries,other
Audit of financial statements of subsidiaries,other
Payments under operating leases,other
"Loss on disposal of property, plant and equipment and intangible assets",adjustment
Hire of premises,other
Operating lease rentals - car leases,other
Provisions for onerous lease contracts and dilapidations,other
Operating lease rentals - transmission & distribution,other
Operating lease costs - land and builldings,other
Employee costs included within operating charges,other
Future lease payments,other
Auditor's remuneration - non audit services - UK,other
Loss on disposals,adjustment
Employment termination costs,adjustment
Interchange and scheme fees,other
(Profit) on disposal of tangible assets,adjustment
Operating leases - rent,other
Net loss on foreign currency translations,adjustment
Operating lease charges - contingent rent payments,other
Auditor's remuneration - audit of the financial statments,other
KPMG remuneration - subsidiary audit services,other
Amortisation of bid costs,d_and_a
Deprecation of assets held under finance leases and hire purchase contracts,d_and_a
Amortisation of intangibles - including goodwill,d_and_a
Asset rentals - plant and machinery,other
Audit of UK defined benefit pension scheme,other
Recharged staff costs,other
Development costs amortiisation,d_and_a
Auditor's remuneration - audit of the financial statements of subsidiaries pursuant to legislation,other
Amortisation of software development,d_and_a
Profit on foreign exchange,adjustment
Research and development expenditure included within staff costs,other
Depreciation of oowned tangible fixed assets,d_and_a
Gain on disposal of plant & machinery,adjustment
Auditors remuneration: Audit of the Company's annual financial statements,other
Exceptional expenses - other,adjustment
Exceptional expense - advisory fees,adjustment
Salaries and payroll-related expenses,other
Stock - amounts expensed to cost of sales,other
Auditors' remuneration- audit of the company's financial statements,other
Write downs of inventories recognised as a non recurring expense,adjustment
Auditor's remuneration - audit of financial statements of subsidiaries,other
Exceptional leasehold dilapidation costs,adjustment
Redundancy costs,adjustment
property maintenance,other
Advertising and marketing,other
non audit services,other
Auditors remuneration - all other non-audit services,other
Depreciation of tangible fixed assets - owned by company,d_and_a
Impairment of capital spares,adjustment
Amortisation - deferred transaction costs,d_and_a
Depreciation of motor vehicles under lease,d_and_a
Operating lease expenses - plant and machinery,other
Depreciation charge,d_and_a
Auditor's remuneration - tax services for the company's subsidiaries,other
Auditors remuneration - the audit of the company's annual accounts,other
Amortisation - intangible fixed assets,d_and_a
Exceptional - Refinancing costs,adjustment
cost of inventory recognised as an expense (included in cost of sales),other
Amortisafion of intangible assets,d_and_a
Auditors remuneration - parent company,other
Impairment of debtors,adjustment
Depreciation and other amounts written off intangible assets,d_and_a
Amortisation charged to costs of sales,d_and_a
Provision for bad debts,adjustment
Profit on disposal of PPE,adjustment
Impairment of stock recognised as an expense,adjustment
Provision for liabilities,other
Operating costs relating to investment properties,other
Operating lease expense,other
Net profit on disposal of AFS financial assets,adjustment
Depreciation - Finance and leased assets,d_and_a
Other operating income - sale of scrap,adjustment
Emoluments for qualifying services,other
Capital expenditure - customer relationship,other
Payroll costs,other
Strategic restructuring,adjustment
Amounts recognised in relation to defined pension schemes,other
Direct staff costs,other
Amortisation of purchased goodwill,d_and_a
Adverting expenses,other
Re-hire of plant and machinery,other
Auditor's remuneration - due diligence and acquisitions advice,other
Hire of other assets - offices provided under operating leases,other
Auditor's Remuneration - Stephenson Smart,other
Auditor's remuneration - audit of consolidated accounts,other
Rentals payable under operating leases - motor vehicles,other
Payroll expenses,other
Amortisation of development costs,d_and_a
Share-based payment compensation charges,adjustment
Other operating lease costs: land & buildings,other
office running,other
Goodwill amortisation and impairment,d_and_a
Other services pursuant to legislation - client asset reporting,other
Other operating charges,other
Amortisation of pre-contract costs,d_and_a
Fees in respect of the audit of the pension scheme,other
Gas purchases from third parties,other
Loss from disposal of subsidiary,adjustment
Net loss on sale of fixed assets,adjustment
Pension scheme contributions,other
Auditors' remuneration - tax services,other
Exceptional - corporate finance costs,adjustment
Noet loss on foreign exchange currency translation,adjustment
Impairment of stock,adjustment
Depreciation and amortisation software,d_and_a
Impairment of land and buildings,adjustment
Accountant's Fee,other
Auditors' remuneration for non-audit services - services relating to taxation,other
Audit,other
Profit/loss on fair value movement of interest rate swaps,adjustment
Auditor's fees for the audit of the group,other
Restructuring and redundancy costs,adjustment
Exceptionals - restructuring management recharges,adjustment
Exceptional - restructuring costs,adjustment
Depreciation of tangible fixed assets - owned assets,d_and_a
Operating loss,other
Pensions administration costs recognised in other operating expenses,other
Auditor's remuneration - tax and other services,other
Other non-audit services,other
Auditor's remuneration - as auditor,other
Exceptional costs - onerous lease,adjustment
Fair value on derivative instruments,adjustment
Foreign exchange gains/(losses),adjustment
Amounts receivable by the company's auditor and its associates in respect of audit of financial statements of subsidiaries of the company,other
Other external charges,other
Stamp duty land tax amortisation,d_and_a
Exceptional expense - manufacturing costs,adjustment
impairment loss on trade debtors,adjustment
SEP share purchase agreement indirect transaction costs,adjustment
Auditors remuneration (VAT inclusive),other
Gain on remeasurement of investment property to fair value,adjustment
Amortisation of trademarks,d_and_a
Acquisition-related amortisation expense,d_and_a
Impairment loss on other debtors and prepayments,adjustment
Auditor's remuneration corporate finance services,other
Exceptional - loss on foreign exchange on financing items,adjustment
Depreciation of assets held under hire purchase contracts,d_and_a
Depreciation of oil and gas interests,d_and_a
Cost of inventories included in cost of sales,other
Exceptional operating items,adjustment
Fees payable to the company's auditors for taxation advisory services,other
Auditors' remunerations - tax compliance services,other
Other intangible asset amortisation,d_and_a
Audit fees - taxation services,other
Other services supplied including the services for taxation compliance,other
Audit fees payable to the Company's auditors,other
Amortisation of deferred grants,d_and_a
Loss on sale of investments,adjustment
Loss/(profit) on disposal of tangible fixed assets,adjustment
Other administrative expenses,other
Other expenses payable,other
Audit of company's accounts,other
Operating lease payments - plant and machinery,other
Cost of stock expensed to profit or loss,other
Depreciation and amortisation - tangible owned assets,d_and_a
Other operating expense/income,other
Difference on foreign exchange transactions,adjustment
(Gains)/loss on disposal of tangible assets,adjustment
Impairment of fixed assets,adjustment
"Depreciation and other amounts written off property, plant and equipment: leased",d_and_a
Loss on disposal of owned assets,adjustment
Services relating to corporate finance transactions and other non audit services,other
Profit on disposal of digital marketing agency and third-party platform driven website properties,adjustment
"Other operating leases - property, land and building",other
Net foreign exchange (gains)/losses,adjustment
Other costs,other
Change in stocks of finished goods,other
Amortisation of telecommunication facilities,d_and_a
Exceptional redundancy and severance pay,adjustment
Net increase in provision for impairment of trade receivables recognised in administrative costs,adjustment
Amounts receivable by the auditors and their associates in respect of: Fees payable for the audit,other
Stock recognised as an expense,other
Research and non-capitalised development costs excluding amortisation,d_and_a
Operating leases - property,other
Hire of equipment,other
Decrease in stock,other
Discontinued operations operating profit/loss,adjustment
Other non-recurring costs/(credits),adjustment
Auditors' remuneration for non-audit services,other
Finance charges - finance lease,other
Auditor's remuneration - valuation and actuarial services,other
Audit of the company's subsidiaries pursuant to legislation,other
Employee benefit costs,other
Amortisation of subscriber acquisition,d_and_a
Auditor's remuneration - Audit of the company's annual accounts,other
Amortisation of intellectual property,d_and_a
Fees payable to the group's auditor for the other non-audit services: All other services,other
Transaction linked incentive payments,adjustment
"Auditor's remuneration, including expenses",other
Cost of stock recognised as an expense,other
Audit related assurance services,other
Recognition of equity-settled share based payments,adjustment
Internally generated intangible amortisation,d_and_a
Auditors' remuneration - fees payable to the company's auditor,other
Non-recurring bad debt charge,adjustment
Impairment of carrying value of investments,adjustment
Profit on disposal of minority PFI investment in the UK's M25 motorway,adjustment
Auditor's services - statutory audit of the Group/Company,other
Management charge from Group,other
Auditors' remuneration - Audit services,other
Amortisation of intangible assets - development costs,d_and_a
Other operating expenses: Development costs not capitalised,other
Net loss on foreign currency translation,adjustment
Depreciation - assets on finance leases,d_and_a
(Profit)/loss on foreign exchange,adjustment
Insurances,other
Audit of subsidiaries - KPMG LLP,other
Group management fee recharge,other
Amortisation of other intangible assets,d_and_a
Client relationship amortisation,d_and_a
KPMG remuneration - audit of these financial statements,other
Depreciation and amortisation of owned assets,d_and_a
Management charges net of amounts capitalised as oil and gas assets,other
Employee costs,other
Loss/(Profit) on sale of fixed assets,adjustment
Loss on disposal of assets,adjustment
fees payable to the company's auditor for the auditing of the company's annual accounts,other
Costs associated with new ownership,adjustment
